"waterbody","date","dateNUTR","year","town","latitude","longitude","state","data_source","mult_survey","off_season","surfacearea_ha","surfaceaarea_sqm","perimeter_m","shoreline_development","depth_max_m","depth_avg_m","forested_shoreline_prop","inflow","outflow","FP_presence","FPcover_avg","FPcover_low_est","FPcover_max","FPcover_min","azolla","eichhornia_crassipes","lemna_minor","lemna_trisulca","lemna_valdiviana","riccia","spirodela_polyrhiza","wolffia","wolffia_borealis","wolffia_brasiliensis","allplant_species_richness","FP_species_richness","nonFP_species_richness","regime","azolla_cover_prop","lminor_cover_prop","lvaldiviana_cover_prop","ltrisulca_cover_prop","riccia_cover_prop","spolyrhiza_cover_prop","wolffia_cover_prop","wbrasiliensis_cover_prop","wborealis_cover_prop","TOTP_n","TOTP_avg","TOTP_SE","PO4_n","PO4_avg","PO4_SE","TOTN_n","TOTN_avg","TOTN_SE","NO3_n","NO3_avg","NO3_SE","NH4_n","NH4_avg","NH4_SE","totNtotP_n","totNtotP_avg","totNtotP_SE","PH_n","PH_avg","PH_SE","COND_n","COND_avg","COND_SE","DO_n","DO_avg","DO_SE","TEMP_n","TEMP_avg","TEMP_SE","ALK_n","ALK_avg","ALK_SE","secchi_n","secchi_avg","secchi_SE","notes","alisma","alisma_subcordatum","brasenia","cabomba","callitriche","callitriche_verna","callitriche_hetero","callitriche_stag","cardamine","ceratophyllum_dem","ceratophyllum_echin","charphyte","decodon","egeria","elatine","elatine_ameri","elatine_minima","elatine_triandra","eleocharis","eleocharis_acic","eleocharis_ellip","ellocharis_parv","elodea_canad","elodea_nutt","eriocaulon_aqua","fil_algae","glossostigma","gratiola","hydrilla","isoetes","isoetes_acad","isoetes_eaton","isoetes_echino","isoetes_engel","isoetes_lacus","isoetes_tuck","juncus","juncus_pelo","lobelia","ludwigia","ludwigia_dub","ludwigia_lac","ludwigia_pal","marsilea","megalodonta","myosotis","myriophyllum","myriophyllum_alt","myriophyllum_aqua","myriophyllum_hetero","myriophyllum_hetero_lax","myriophyllum_hum","myriophyllum_ten","myriophyllum_sibi","myriophyllum_spic","najas_flex","najas_grac","najas_guad","najas_minor","nasturtium","nelumbo","nuphar","nymphaea_odor","nymphaea_odor_odor","nymphaea_odor_tuber","nymphoides","nymphoides_cordata","nymphoides_pelt","peltandra","phragmites","polygonum","polygonum_amphi","polygonum_hydro","pontederia","potamogeton","potamogeton_ampli","potamogeton_berch","potamogeton_biculp","potamogeton_conferv","potamogeton_crispus","potamogeton_epi","potamogeton_foli","potamogeton_frie","potamogeton_grami","potamogeton_ilino","potamogeton_ilino_hybrid","potamogeton_natans","potamogeton_nodos","potamogeton_oakes","potamogeton_palus","potamogeton_perfo","potamogeton_pulch","potamogeton_pusil","potamogeton_prael","potamogeton_rich","potamogeton_robb","potamogeton_spir","potamogeton_vase","potamogeton_zost","proserpinaca","ranunculus","sagittaria","sagittaria_gram","sagittaria_lati","schoenoplectus","sparganium","sparganium_ameri","stuckenia","trapa","typha","typha_latif","sedge","utricularia","utricularia_gemi","utricularia_gibb","utricularia_inter","utricularia_macro","utricularia_mini","utricularia_mino","utricularia_purp","utricularia_radi","utricularia_subu","utricularia_vulg","vallisneria","zannichellia","zosterella"
"Hamlin Pond","8/24/2005","8/24/2005","2005","Plainville",41.6706,72.8475,"CT","CAES","N","N",4.86,48500.671,947.13,1.213,4,NA,0,NA,NA,"Y",0.0058,0.0058,0.0058,0.0058,0,0,1,0,0,0,0,0,0,1,8,2,6,"SAV",0,0.00316,0,0,0,0,0,0.00263,0,2,0.0895,0.0485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,6.7,0.3,2,262.5,17.5,1,10.4,NA,1,24.3,NA,2,72.38,1.125,1,1.2,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hartens Pond (Pond  View Condos)","9/13/2013","9/13/2013","2013","North Haven",41.35059,72.851697,"CT","MJM","N","N",0.5766,5766,374.7,1.392,1,NA,0.9292,NA,NA,"Y",1,1,1,1,0,0,1,0,0,0,0,0,0,1,2,2,0,"FP",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.06396,NA,NA,NA,NA,1,0.43915,NA,NA,NA,NA,NA,NA,NA,NA,"6.866",NA,NA,NA,NA,1,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qualitative estimate of FP cover; no data on FP species % composition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hatch Pond","6/14/2012","6/14/2012","2012","Kent ",41.6836,73.4778,"CT","CAES","N","N",26.71,267092.52,2751.86,1.491,4,NA,0.426,NA,NA,"Y",0.1725,0.1725,0.1725,0.1725,0,0,0,1,0,0,1,1,0,0,15,3,12,"SAV",0,0,0,0,0,0,0,0,0,2,0.1574,0.1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,7.3,0.3,2,257,25,1,8.3,NA,1,22.9,NA,2,112.15,18.35,1,2,NA,"",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Highwoods Drive Pond","9/13/2013","9/13/2013","2013","Guilford",41.315949,72.700614,"CT","MJM","N","N",0.0858,858,107.1,1.031,1,NA,0.7438,NA,NA,"Y",1,1,1,1,0,0,1,0,0,0,1,0,0,1,3,3,0,"FP",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.02815,0.006120607,NA,NA,NA,2,0.23077,0.035023189,NA,NA,NA,NA,NA,NA,NA,"8.1964",NA,NA,NA,NA,1,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qualitative estimate of FP cover; no data on FP species % composition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horseshoe Pond","6/21/2013","6/21/2013","2013","Wilton",41.1823,73.4265,"CT","CAES","N","N",2.23,22257.71,713.23,1.359,1,NA,0.8763,NA,NA,"Y",0.024,0.024,0.024,0.024,0,0,1,1,0,0,1,0,0,0,11,3,8,"SAV",0,0.02101,0,0.00117,0,0.00222,0,0,0,2,0.05405,0.00125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,6.45,0.05,2,394.5,0.5,1,2.2,NA,1,21.3,NA,2,34.9,1.1,1,0.8,NA,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Hummers Pond","7/28/2005","7/28/2005","2005","Madison",41.2835,72.5827,"CT","CAES","N","N",3.08,30863.362,1241.61,1.994,2,NA,0.733,NA,NA,"Y",0.44,0.44,0.44,0.44,0,0,0,0,0,0,0,0,0,1,9,1,8,"SAV",0,0,0,0,0,0,0,0.44,0,2,0.0755,0.0135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,6.05,0.05,2,196.5,0.5,1,2,NA,1,26.2,NA,2,31.5,0,1,1.5,NA,"",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Indian Lake (1)","8/3/2006","8/3/2006","2006","Orange",41.2505,73.01,"CT","CAES","N","N",10.93,110605.371,2390.98,2.028,4,NA,0.3738,NA,NA,"Y",0.0333,0.0333,0.0333,0.0333,0,0,1,0,0,0,0,0,0,1,13,2,11,"SAV",0,0.02018,0,0,0,0,0,0.01312,0,2,0.069,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,7.05,0.75,2,228.5,33.5,1,9.8,NA,1,31.8,NA,2,55.9,19.9,1,1,NA,"",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Lake (2)","8/10/2009","8/10/2009","2009","Sharon",41.9183,73.4946,"CT","CAES","N","N",82.96,822521.513,5079.46,1.58,3,NA,0.6055,NA,NA,"Y",6e-04,6e-04,6e-04,6e-04,0,0,0,0,0,0,1,0,0,0,21,1,20,"SAV",0,0,0,0,0,0.00058,0,0,0,2,0.014,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,7.5,0.1,2,116.25,3.75,1,6.2,NA,1,27.4,NA,2,274,7,1,2,NA,"",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"Lakeview Lake (Willow Lake)","8/18/2006","8/18/2006","2006","West Hartford",41.8031,72.772,"CT","CAES","N","N",1.09,13252.673,548.24,1.343,1,NA,0.5079,NA,NA,"Y",0.1605,0.1605,0.1605,0.1605,0,0,1,0,0,0,0,1,0,0,7,2,5,"SAV",0,0.00202,0,0,0,0,0.15848,0,0,1,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,6.8,NA,1,178,NA,1,4.6,NA,1,20.4,NA,1,63.9,NA,1,1.3,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Larkin Pond","7/3/2011","7/3/2011","2011","Middlebury",41.501,73.1117,"CT","CAES","N","N",3.44,34058.9,882.43,1.349,3,NA,0.6508,NA,NA,"Y",0.0094,0.0094,0.0094,0.0094,0,0,1,0,0,0,0,0,0,0,11,1,10,"SAV",0,0.00936,0,0,0,0,0,0,0,2,0.056,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,7.65,1.55,2,130,40,1,12,NA,1,27.6,NA,2,13.9,1.1,1,0.8,NA,"",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lower Moodus Reservoir","combined","7/20/2009","comb","Moodus",41.5145,72.422,"CT","CAES","Y","N",50.99,509903.91,5306.19,2.115,4,2,0.8154,NA,NA,"Y",1e-04,1e-04,1e-04,1e-04,0,0,1,0,0,0,0,0,0,0,36,1,35,"SAV",0,0.00012,0,0,0,0,0,0,0,2,0.034,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,6.025,0.225,2,72.3,6.3,2,0.05065,0.04915,2,28.85,1.85,2,10.325,1.675,2,1.75,0.25,"",0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
"Lower Yaphank Lake","combined","2/29/2012","comb","Yaphank",40.8347,72.9181,"NY","MJM","Y","N",10.12,101150.13,3548.44,3.147,2.134,NA,0.9263,NA,NA,"Y",0.1433,0.1665,0.1665,0.1308,0,0,1,0,0,0,1,0,0,1,7,3,4,"SAV",0,0.01013,0,0,0,4e-05,0,0.09769,0,4,0.0184,0.00087,4,0.034535241,0.003058594,4,1.38216,0.44772,4,0.596649109,0.131422686,4,0.04880053,0.021127448,NA,"75.1302",NA,4,7.03,0.190249288,4,154.3125,3.765198368,3,8.033333333,0.750740375,3,27.025,1.089724736,NA,NA,NA,NA,NA,NA,"",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Lucky Pond (Galko Farm Pond)","combined","7/13/2012","comb","Wallingford",41.4647,72.8564,"CT","CAES/MJM","Y","N",0.4,7109.305,400.471,1.776,2.5,NA,0.2977,NA,NA,"Y",0.1038,0.2064,0.2064,0.0012,0,0,1,0,0,0,0,0,0,1,8,2,6,"SAV",0,0.00113,0,0,0,0,0,0.00052,0,3,0.1223,0.0712,NA,NA,NA,3,1.78946,0.30632,NA,NA,NA,NA,NA,NA,NA,"35.0221",NA,3,6.9667,0.7075,3,184.1333,38.4285,2,7.65,0.85,2,25.55,2.75,2,53.63,12.5,1,0.7,NA,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mackenzie Reservoir  1  large","combined","7/13/2012","comb","Wallingford",41.4428,72.7722,"CT","CAES/MJM","Y","N",135.34,135335.418,2077.364,1.593,3.8,NA,0.7024,NA,NA,"Y",0.0043,0.0086,0.0086,0,0,0,1,0,0,0,0,0,0,1,11,2,9,"SAV",0,0.00858,0,0,0,0,0,0,0,2,0.0317,0.0158,NA,NA,NA,3,2.13044,0.25195,NA,NA,NA,NA,NA,NA,NA,"44.7637",NA,2,7.1508,1.1142,2,210.7833,70.7167,3,8.866666667,0.554777233,3,29.83333333,0.317979734,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mackenzie Reservoir  2  small","combined","7/13/2012","comb","Wallingford",41.4428,72.7722,"CT","CAES/MJM","Y","N",59.8,59802.595,1325.042,1.528,3,NA,0.526,NA,NA,"Y",0.0767,0.1421,0.1421,0.0113,0,0,1,0,0,0,1,0,0,1,11,3,8,"SAV",0,0.03017,0,0,0,0.00083,0,0.04573,0,3,0.0385,0.0171,NA,NA,NA,3,1.38482,0.37793,NA,NA,NA,NA,NA,NA,NA,"46.0027",NA,3,7.8539,0.5607,3,248.8889,33.8097,2,6.466666667,0.466666667,2,26.58333333,3.383333333,2,62.65,5.5,1,0.9,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mamanasco Lake","combined","9/11/2012","comb","Ridgefield",41.3201,73.5272,"CT","CAES","Y","N",35.7,357034.804,3564.977,1.674,3.353,2.286,0.4486,NA,NA,"Y",4e-04,7e-04,7e-04,1e-04,0,0,1,0,0,0,0,0,0,0,11,1,10,"SAV",0,0.00042,0,0,0,0,0,0,0,2,0.0524,0.0177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,7.8,0.1,2,271.25,30.75,2,0.05065,0.04915,2,24.4,2.8,2,75.1875,0.1875,2,1.4,0.6,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mill Pond  North Basin","combined","2/27/2012","comb","East Setauket",40.9465,73.1156,"NY","MJM","Y","N",1.5,14654.92,579.23,1.35,2.286,NA,0.7651,NA,NA,"Y",0.4185,0.5652,0.5652,0.0747,0,0,1,0,0,0,1,0,0,1,6,3,3,"SAV",0,0.02422,0,0,0,0.02272,0,0.21842,0,4,0.02579,0.0023,8,0.03684,0.006347273,4,3.37961,0.38448,8,0.60323,0.141200138,8,0.05011,0.021954191,NA,"131.0642",NA,7,8.33,0.52,8,210.56875,14.02495763,7,8.017857143,1.054422578,7,25.72142857,1.261747519,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mill Pond  South Basin","combined","2/27/2012","comb","East Setauket",40.9444,73.116,"NY","MJM","Y","N",1.13,11440.06,776.43,2.06,1.219,NA,0.5827,NA,NA,"Y",0.53,0.53,0.6969,0.2245,0,0,1,0,0,0,1,0,0,1,6,3,3,"shift",0,0.26332,0,0,0,0.0236,0,0.16529,0,4,0.02366,0.00133,6,0.05048,0.01191952,4,4.58481,0.32402,6,0.89752,0.117693132,6,0.12464,0.048580281,NA,"193.8149",NA,6,6.82667,0.185464881,6,209.04861,9.53901987,5,7.6,1.205680997,5,20.34,0.528036194,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mill Pond Park","combined","7/13/2012","comb","Newington",41.6947,72.73,"CT","CAES/MJM","Y","N",1.46,14568.683,597.938,1.397,2.8,NA,0.2895,NA,NA,"Y",0.2675,0.4938,0.4938,0.0411,0,0,1,0,0,0,1,0,0,0,8,2,6,"SAV",0,0.12823,0,0,0,0.00208,0,0,0,3,0.0948,0.0257,NA,NA,NA,3,1.68768,0.28318,NA,NA,NA,NA,NA,NA,NA,"24.394",NA,3,7.4,0.6473,3,444.1111,134.9231,2,8.55,0.65,2,24.71666667,3.816666667,2,180.4,12.5,1,1.2,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mills Pond","combined","2/27/2012","comb","St. James",40.8972,73.1483,"NY","MJM","Y","N",0.36,3547.89,234.59,1.102,1,NA,1,NA,NA,"Y",0.9281,1,1,0.6719,0,0,1,0,0,0,0,0,0,0,1,1,0,"FP",0,0.74635,0,0,0,0,0,0,0,4,0.08862,0.00571,6,0.374497172,0.176850392,4,2.53953,0.42762,6,0.063417551,0.049160718,6,0.120832805,0.084708668,NA,"28.6559",NA,6,6.924305556,0.12441333,8,1120.34375,358.064992,6,6.133333333,1.594321521,6,23.39305556,2.187091143,NA,NA,NA,3,0.47,0.03,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mills Pond, Lower","combined","7/13/2012","comb","Canton",41.8242,72.9114,"CT","CAES/MJM","Y","N",0.4,3876.581,251.35,1.115,1.5,0.5,0.6541,NA,NA,"Y",0.635,0.5,1,0.5,0,0,1,0,0,0,1,0,0,1,10,3,7,"shift",0,0.01016,0,0,0,0.00078,0,0.50906,0,3,0.0402,0.0053,NA,NA,NA,2,1.39044,0.19633,NA,NA,NA,NA,NA,NA,NA,"39.7873",NA,3,7.1267,0.5617,3,238,56.5066,2,6.433333333,1.833333333,2,22.53333333,8.683701208,2,27.38,14.5,1,1,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mills Pond, Upper","combined","7/13/2012","comb","Canton",41.8266,72.9141,"CT","CAES/MJM","Y","N",1.78,17784.083,747.696,1.581,1.5,NA,0.9572,NA,NA,"Y",0.1217,0.24,0.24,0.0035,0,0,1,0,0,0,1,0,0,0,10,2,8,"SAV",0,0.02001,0,0,0,0.10001,0,0,0,3,0.0671,0.0379,NA,NA,NA,3,1.03453,0.23507,NA,NA,NA,NA,NA,NA,NA,"35.3213",NA,3,6.6933,0.3619,3,224.4222,69.3793,2,4.65,4.35,2,20.9,7.511324783,2,33,51,1,1,NA,"",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
